source,country,date,type,value
wikipedia,Pakistan,02-Apr-20_08:24,cases,2291
wikipedia,Pakistan,02-Apr-20_08:24,deaths,31
wikipedia,Pakistan,02-Apr-20_08:24,recovered,107
wikipedia,Togo,02-Apr-20_08:24,cases,36
wikipedia,Togo,02-Apr-20_08:24,deaths,2
wikipedia,Togo,02-Apr-20_08:24,recovered,10
wikipedia,Belarus,02-Apr-20_08:24,cases,163
wikipedia,Belarus,02-Apr-20_08:24,deaths,2
wikipedia,Belarus,02-Apr-20_08:24,recovered,47
wikipedia,Brunei,02-Apr-20_08:24,cases,131
wikipedia,Brunei,02-Apr-20_08:24,deaths,1
wikipedia,Brunei,02-Apr-20_08:24,recovered,52
wikipedia,Mayotte,02-Apr-20_08:24,cases,101
wikipedia,Mayotte,02-Apr-20_08:24,deaths,1
wikipedia,Mayotte,02-Apr-20_08:24,recovered,10
wikipedia,East Timor,02-Apr-20_08:24,cases,1
wikipedia,East Timor,02-Apr-20_08:24,deaths,0
wikipedia,East Timor,02-Apr-20_08:24,recovered,0
wikipedia,Australia,02-Apr-20_08:24,cases,5108
wikipedia,Australia,02-Apr-20_08:24,deaths,24
wikipedia,Australia,02-Apr-20_08:24,recovered,422
wikipedia,Tunisia,02-Apr-20_08:24,cases,423
wikipedia,Tunisia,02-Apr-20_08:24,deaths,12
wikipedia,Tunisia,02-Apr-20_08:24,recovered,5
wikipedia,Sint Maarten,02-Apr-20_08:24,cases,16
wikipedia,Sint Maarten,02-Apr-20_08:24,deaths,1
wikipedia,Sint Maarten,02-Apr-20_08:24,recovered,1
wikipedia,Hong Kong,02-Apr-20_08:24,cases,765
wikipedia,Hong Kong,02-Apr-20_08:24,deaths,4
wikipedia,Hong Kong,02-Apr-20_08:24,recovered,147
wikipedia,Åland Islands,02-Apr-20_08:24,cases,5
wikipedia,Åland Islands,02-Apr-20_08:24,deaths,0
wikipedia,Åland Islands,02-Apr-20_08:24,recovered,0
wikipedia,North Macedonia,02-Apr-20_08:24,cases,354
wikipedia,North Macedonia,02-Apr-20_08:24,deaths,10
wikipedia,North Macedonia,02-Apr-20_08:24,recovered,17
wikipedia,Uruguay,02-Apr-20_08:24,cases,350
wikipedia,Uruguay,02-Apr-20_08:24,deaths,2
wikipedia,Uruguay,02-Apr-20_08:24,recovered,62
wikipedia,Mali,02-Apr-20_08:24,cases,31
wikipedia,Mali,02-Apr-20_08:24,deaths,3
wikipedia,Mali,02-Apr-20_08:24,recovered,0
wikipedia,Qatar,02-Apr-20_08:24,cases,835
wikipedia,Qatar,02-Apr-20_08:24,deaths,2
wikipedia,Qatar,02-Apr-20_08:24,recovered,71
wikipedia,Turks and Caicos Islands,02-Apr-20_08:24,cases,5
